Unique UN Assigned ID	ACC/BCC/ASCC	Dictionary Entry Name	Definition	Object Class Term	Property Term Qualifier(s)	Property Term	Datatype Qualifier(s)	Representation Term	Qualified Data Type UID	Associated Object Class Term Qualifier(s)	Associated Object Class	Business Term(s)	Usage Rule(s)	Sequence Number	Occurrence Min	Occurrence Max	Version
UN00003667	ACC	Accompanying Person. Details	A person that accompanies another person, such as a mother accompanying her child during a stay in hospital.	Accompanying Person													1.0
UN00003668	BCC	Accompanying Person. Relationship To Patient. Code	The code specifying the accompanying person's relationship to the patient.	Accompanying Person		Relationship To Patient		Code						1	0	1	1.0
UN00003669	ASCC	Accompanying Person. Specified As. Party	The party specified as an accompanying person.	Accompanying Person		Specified As					Party			1	0	1	1.0
UN00001267	ACC	Accounting Account. Details	A specific account for recording debits and credits to general accounting, cost accounting or budget accounting.	Accounting Account													1.0
UN00001268	BCC	Accounting Account. Identification. Identifier	The unique identifier for this accounting account.	Accounting Account		Identification		Identifier						1	0	1	1.1
UN00001269	BCC	Accounting Account. Set Trigger. Code	A code specifying a set trigger for the accounting account to be used in response to a specific event or set of events.	Accounting Account		Set Trigger		Code						2	0	unbounded	1.0
UN00001270	BCC	Accounting Account. Type. Code	The code specifying the type of accounting account such as general(main), secondary, cost accounting, budget account.	Accounting Account		Type		Code						3	0	1	1.0
UN00001271	BCC	Accounting Account. Amount Type. Code	The code specifying the amount type for a specific accounting account.	Accounting Account		Amount Type		Code						4	0	1	1.0
UN00002145	BCC	Accounting Account. Sub Account. Identifier	A unique identifier for this accounting sub account.	Accounting Account		Sub Account		Identifier						5	0	unbounded	1.1
UN00002146	BCC	Accounting Account. Name. Text	The name, expressed as text, of this accounting account.	Accounting Account		Name		Text						6	0	1	1.0
UN00002147	BCC	Accounting Account. Abbreviated Name. Text	The abbreviated name, expressed as text, of this accounting account.	Accounting Account		Abbreviated Name		Text						7	0	1	1.0
UN00002148	BCC	Accounting Account. Main Accounts Chart. Identifier	The unique identifier for the main accounts chart for this accounting account.	Accounting Account		Main Accounts Chart		Identifier						8	0	1	1.0
UN00002149	BCC	Accounting Account. Main Accounts Chart Reference. Identifier	The unique identifier of the main accounts chart reference for this accounting account.	Accounting Account		Main Accounts Chart Reference		Identifier						9	0	1	1.0
UN00003179	BCC	Accounting Account. Cost Assignment Reference. Text	The cost assignment reference, expressed as text, for this accounting account.	Accounting Account		Cost Assignment Reference		Text						10	0	1	1.0
UN00004511	BCC	Accounting Account. Cost Reference Dimension Pattern. Text	The cost reference dimension pattern, expressed as text, for this accounting account.	Accounting Account		Cost Reference Dimension Pattern		Text						11	0	1	1.0
